Source,nH,,X_flux_init,X_flux_heanh,overig,,,
2S_0918-549,0.299091,xrt ,3.64E-10,1.83E-10,Swift_J1910.2-0546,,xrt ,vergeten op te slaan
4U_1323-619,5.58908,xrt ,1.43E-10,1.20E-10,,,,
4U_1626-67,0.177044,xrt ,3.69E-10,2.65E-10,,,,
4U_1702-429,2.05908,xrt ,2.02E-09,1.33E-09,,,,
4U_1708-40,4.68359,xrt ,2.70E-09,1.85E-09,,,,
4U_1735-44,0.48614,xrt ,4.11E-09,2.67E-09,,,,
4U_1915-05,0.569368,xrt ,5.93E-10,3.80E-10,,,,
GS_1826-24,0.833507,xrt ,4.75E-09,2.48E-09,,,,
GX_9+9,0.403403,xrt ,9.29E-09,6.52E-09,,,,
IGR_J1706.2-6143,0.190408,xrt ,2.35E-10,1.49E-10,,,,
MAXI_J1305-704,0.243349,xrt ,,,,,,
SAX_J1806.5-2215,9.97256,thesis Bilal,,,,,,
Ser_X-1,1.0121,xrt ,1.03E-08,6.57E-09,,,,
XTE_J1710-281,0.24424,xrt ,8.40E-11,6.58E-11,,,,