Source,Date,Reason for failing ,Hard/soft state ,State_source,Transient/persistent,NS/BH,,
1E_1743.1-2843,6/19/2018,Unable to identify correct counterpart (yet?),hard ,,persisent,NS? ,,
2E_17467-3225,6/18/2013,,hard,,persistent,NS,,
2S_0918-549,11/13/2018,,,,persistent,NS,,
4U_1323-619,6/18/2018,No good J band observation (FSRED failed),hard,,persistent ,NS,,
4U_1626-67,6/19/2018,,,,persistent,NS (pulsar),,
4U_1702-429,6/19/2018,"No good H-band observation, applied PSF but not great fit",hard,BAT/MAXI lc,persistent,NS,Legend,
4U_1708-40,6/19/2018,,,,persistent ,NS,orange,
4U_1735-44,6/19/2018,,soft,,persistent,NS,17,Partly failed but might be solution (mostly running stuff outside FSRED or picking a counterpart)
4U_1822-00,6/19/2018,,,,persistent,NS (UC),lime,
4U_1915-05,6/19/2018,Ks band image has weird artifacts,,,persistent ,NS,41,Succeeded
9_XMMSL1_J171900.4-353217,5/10/2014,Unable to identify correct counterpart (there are many),quiescence ,,transient,unknown,red,
AX_J1538.3-5541,6/17/2013,Unable to identify correct counterpart (yet?),check with Swift lc,,transient,unknown,5,FAILED
AX_J1538.3-5541,6/18/2013,Unable to identify correct counterpart (yet?),check with Swift lc,,transient,unknown,Total,
AX_J1538.3-5541,6/18/2018,Source coordinate falls outside fits image,quiescence,,transient,unknown,63,but not as many separate sources since some observed on multiple dates
AX_J1620.1-5002,6/17/2013,Unable to identify counterpart (yet?),check with Swift lc,,transient,WD/HMXB?,,
AX_J1620.1-5002,6/18/2013,Unable to identify counterpart (yet?),check with Swift lc,,transient,WD/HMXB?,,
AX_J1818.8-1559,5/10/2014,Unable to identify counterpart (yet?),,,N/A,NS (magnetar?),,
EXO_0748-676,5/8/2014,,quiescence,,transient,NS,,
EXO_0748-676,11/13/2018,,quiescence,,transient,NS,,
GS_1826-24,6/19/2018,,hard,,persistent,NS,,
GX_339-4,6/17/2013,,quiescence,,transient,BH,,
GX_339-4,6/18/2013,,quiescence,,transient,BH,,
GX_9+9,6/19/2018,,soft,,persistent,NS,,
IGR_J1706.2-6143,6/17/2013,,hard,,persistent,NS (UC),,
IGR_J1706.2-6143,5/8/2014,,hard,,persistent,NS (UC),,
IGR_J17091-3624,5/10/2014,,quiescence,,transient,BH,,
IGR_J17494-3030,5/8/2014,,quiescence,,transient,NS,,
IGR_J17494-3030,5/10/2014,"Only one observation, for which FSRED failed",quiescence,,transient,NS,,
MAXI_J0556-332,5/7/2014,no good J band observation,quiescence,,transient,NS,,
MAXI_J1305-704,6/17/2013,,quiescence,,transient,BH,,
MAXI_J1421-613,5/10/2014,,quiescence,,transient,NS,,
MXB_1659-28,6/18/2013,,quiescence,,transient,NS,,
MXB_1659-28,5/10/2014,,quiescence,,transient,NS,,
RX_J1735.3-3540,5/8/2014,,hard,,persistent,NS,,
RXS_J170854.4-321857,6/18/2013,,hard,,persistent,NS,,
RXS_J171824.2-402934,6/17/2013,TODO,hard,,persistent,NS,,
RXS_J180408.9-342058,6/18/2013,,quiescence,,transient,NS (UC?),,
RXS_J180408.9-342058,6/19/2018,,quiescence,,transient,NS (UC?),,
SAX_J1712.6-3739,6/18/2013,,hard,,persistent,NS,,
SAX_J1806.5-2215,6/18/2013,No good H band observation,check with Swift lc,,transient,NS,,
SAX_J1806.5-2215,5/9/2014,,check with Swift lc,,transient,NS,,
SAX_J1818.7+1424,5/8/2014,Unable to identify counterpart,,,persistent,NS,,
Ser_X-1,6/19/2018,,soft,,persistent,NS,,
SLX_1735-269,6/18/2013,,,,persistent,NS,,
SLX_1737-282,6/18/2013,Source undetected because it is behind very bright (saturated) star,,,persistent,NS,,
Swift_J1357.2-0933,6/16/2013,,quiescence,,transient,BH,,
Swift_J1357.2-0933,6/18/2013,No good H band observation,quiescence,,transient,BH,,
Swift_J1822.3-1606,5/10/2014,Unable to identify correct counterpart (yet?),,,N/A,NS (magnetar),,
Swift_J1910.2-0546,6/18/2013,,quiescence,,transient,BH?,,
Swift_J1910.2-0546,5/9/2014,,quiescence,,transient,BH?,,
Swift_J1922.7-1716,6/17/2013,,quiescence,,transient,NS,,
Swift_J1922.7-1716,6/18/2013,,quiescence,,transient,NS,,
UW_Crb,6/19/2018,,,,persistent,NS,,
XMMi_J115004.8-22442,6/18/2013,"Only one observation, for which FSRED failed",unknown if XRB,,transient,unknown,,
XMMSL1_J171900.4-353217,5/9/2014,Unable to identify correct counterpart (there are many),quiescence ,,transient,unknown,,
XMMU_J174716.1-281048,5/8/2014,Unable to identify correct counterpart (yet?),quiescence?,,transient,NS,,
XSS_J12270-4859,5/8/2014,,,,transient,NS (spider pulsar),,
XTE_J1637-498,5/10/2014,,quiescence,,transient,unknown,,
XTE_J1710-281,6/19/2018,,hard,,transient,NS,,
XTE_J1719-291,6/18/2013,,quiescence,,transient,NS?,,
XTE_J1728-295,5/9/2014,FSRED failed for all of these,quiescence ,,transient,BH?,,
XTE_J1728-295,5/10/2014,,quiescence ,,transient,BH?,,
XTE_J1901+014,5/10/2014,,unknown if XRB,,transient,unknown,,